2026-05-19T12:34:20Z | +0 new | 1838 total | sources: {"capitol_trades": {"status": "ok", "records": 897}, "senate_github": {"status": "ok", "records": 0}}
2026-05-19T16:43:27Z | +41 new | 1879 total | sources: {"capitol_trades": {"status": "ok", "records": 940}, "senate_github": {"status": "ok", "records": 0}}
2026-05-19T19:54:45Z | +0 new | 1879 total | sources: {"capitol_trades": {"status": "ok", "records": 940}, "senate_github": {"status": "ok", "records": 0}}
2026-05-19T23:10:54Z | +0 new | 1879 total | sources: {"capitol_trades": {"status": "ok", "records": 940}, "senate_github": {"status": "ok", "records": 0}}
2026-05-20T12:15:08Z | +0 new | 1879 total | sources: {"capitol_trades": {"status": "ok", "records": 938}, "senate_github": {"status": "ok", "records": 0}}
2026-05-20T16:43:13Z | +27 new | 1906 total | sources: {"capitol_trades": {"status": "ok", "records": 966}, "senate_github": {"status": "ok", "records": 0}}
2026-05-20T20:21:28Z | +0 new | 1906 total | sources: {"capitol_trades": {"status": "ok", "records": 966}, "senate_github": {"status": "ok", "records": 0}}
2026-05-20T23:18:11Z | +0 new | 1906 total | sources: {"capitol_trades": {"status": "ok", "records": 966}, "senate_github": {"status": "ok", "records": 0}}
2026-05-21T12:38:47Z | +20 new | 1926 total | sources: {"capitol_trades": {"status": "ok", "records": 996}, "senate_github": {"status": "ok", "records": 0}}
2026-05-21T16:33:05Z | +3 new | 1929 total | sources: {"capitol_trades": {"status": "ok", "records": 999}, "senate_github": {"status": "ok", "records": 0}}
2026-05-21T19:56:31Z | +0 new | 1929 total | sources: {"capitol_trades": {"status": "ok", "records": 999}, "senate_github": {"status": "ok", "records": 0}}
2026-05-21T23:08:48Z | +0 new | 1929 total | sources: {"capitol_trades": {"status": "ok", "records": 999}, "senate_github": {"status": "ok", "records": 0}}
2026-05-22T12:12:33Z | +0 new | 1929 total | sources: {"capitol_trades": {"status": "ok", "records": 974}, "senate_github": {"status": "ok", "records": 0}}
2026-05-22T16:13:26Z | +0 new | 1929 total | sources: {"capitol_trades": {"status": "ok", "records": 975}, "senate_github": {"status": "ok", "records": 0}}
2026-05-22T19:49:32Z | +0 new | 1929 total | sources: {"capitol_trades": {"status": "ok", "records": 975}, "senate_github": {"status": "ok", "records": 0}}
2026-05-22T23:08:43Z | +0 new | 1929 total | sources: {"capitol_trades": {"status": "ok", "records": 975}, "senate_github": {"status": "ok", "records": 0}}
2026-05-23T11:14:53Z | +1 new | 1930 total | sources: {"capitol_trades": {"status": "ok", "records": 976}, "senate_github": {"status": "ok", "records": 0}}
2026-05-25T12:55:50Z | +0 new | 1930 total | sources: {"capitol_trades": {"status": "ok", "records": 975}, "senate_github": {"status": "ok", "records": 0}}
2026-05-25T16:14:22Z | +5 new | 1935 total | sources: {"capitol_trades": {"status": "ok", "records": 980}, "senate_github": {"status": "ok", "records": 0}}
2026-05-25T19:43:40Z | +0 new | 1935 total | sources: {"capitol_trades": {"status": "ok", "records": 980}, "senate_github": {"status": "ok", "records": 0}}
2026-05-25T23:12:14Z | +0 new | 1935 total | sources: {"capitol_trades": {"status": "ok", "records": 980}, "senate_github": {"status": "ok", "records": 0}}
2026-05-26T17:18:17Z | +1 new | 1936 total | sources: {"capitol_trades": {"status": "ok", "records": 982}, "senate_github": {"status": "ok", "records": 0}}
2026-05-26T20:11:42Z | +0 new | 1936 total | sources: {"capitol_trades": {"status": "ok", "records": 982}, "senate_github": {"status": "ok", "records": 0}}
2026-05-26T23:15:12Z | +0 new | 1936 total | sources: {"capitol_trades": {"status": "ok", "records": 982}, "senate_github": {"status": "ok", "records": 0}}
